,AGMTNO,CUTDATE,MOB,OPENING_BUCKET,SEGMENT_ROF,PORTFOLIO,STATE,AGE,CIBIL_SCORE,APPSCORE,PRNT_BNC_MOB_RATIO,DISBURSALS,OUTSTANDING_BALANCE,EXT_DPD_SEG_TYPE_FINAL,REGIONAL_GROUPING,CUST_LATEST_STRAIGHT_THROUGH_FLOW,NOT_RF,MONTS_SINCE_LATEST_RF,MONTS_SINCE_LATEST_STAB,FIRST_TIME_STAB_MOB,AVG_INTER_STAB_TIME,LATEST_MNT_FOLLOWUP_RESULT_CODE_GRP,LATEST_MNT_DIFF_FIRSTFOLLUP_RECEIPTDT_DD,LATEST_3MNT_FOLLOWUP_NOTCONTACT,LATEST_3MNTAVG_DIFF_FIRSTFOLLUP_EMIDT_DD,LATEST_3MNT_NOT_RECEIPT_LQ21DAYS,NO_EARLY_DRE_PAYMENTS_LQ16D,RECP_LQ6M__MODE_CCR_DAY,OFFLINE__L12M_MODE_CCR_DAY,OD_DPD_CAT_L3M
10,TN3008PA0011512,31-OCT-24,2,0,3.LR,CD,TN,31,,,0.0,1561713.0,1558533.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,1.0,1,3,0,P
11,TN3008PA0011519,31-OCT-24,2,0,2.MR,TW,TN,51,,,,2773399.0,1975014.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,PAID,1.0,0.0,15.0,1.0,0,19,19,P
12,TN3008PA0011520,31-OCT-24,2,0,3.LR,CD,TN,26,,,0.0,231868.0,54544.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
13,TN3008PA0011524,31-OCT-24,2,0,2.MR,CD,TN,39,,,0.17,49842.0,,3:NO_OFFUS,TN III,0,0.0,0.0,0.0,0.0,0.0,PAID,2.0,0.0,11.0,1.0,1,16,16,P
14,TN3008PA0011534,31-OCT-24,2,0,2.MR,TW,TN,47,,,0.0,181683.0,87150.0,3:NO_OFFUS,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
15,TN3008PA0011539,31-OCT-24,2,0,2.MR,CD,TN,33,,,0.0,207156.0,131528.0,2.Not_Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
16,TN3008PA0011550,31-OCT-24,3,0,3.LR,CD,TN,26,,,0.0,615454.0,395425.0,2.Not_Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,2.0,2,3,0,PP
17,TN3008PA0011552,31-OCT-24,3,0,2.MR,CD,TN,25,,,0.2,3830140.0,3653987.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
18,TN3008PA0011554,31-OCT-24,2,0,3.LR,CD,TN,32,,,0.13,148328.0,19233.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
19,TN3008PA0011594,31-OCT-24,2,0,2.MR,CD,TN,26,,,0.0,,,3:NO_OFFUS,TN III,0,0.0,0.0,0.0,0.0,0.0,PTP,3.0,0.0,13.0,1.0,0,19,19,P
20,TN3008PA0011603,31-OCT-24,2,0,3.LR,CD,TN,25,,,0.17,225849.0,29371.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
21,TN3008PA0011604,31-OCT-24,2,0,2.MR,CD,TN,27,,,0.11,872917.0,719999.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,1.0,1,3,0,P
22,TN3008PA0011605,31-OCT-24,2,0,3.LR,CD,TN,31,,,0.0,2576229.0,4299.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
23,TN3008PA0011605,31-OCT-24,2,0,3.LR,CD,TN,31,,,0.0,2571930.0,,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
24,TN3008PA0011607,31-OCT-24,2,0,2.MR,CD,TN,21,,,0.0,25299.0,12650.0,3:NO_OFFUS,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,31,0,P
25,TN3008PA0011621,31-OCT-24,2,0,3.LR,CD,TN,29,,,0.17,70968.0,0.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,1.0,1,1,0,P
26,TN3008PA0011649,31-OCT-24,2,0,2.MR,CD,TN,26,,,0.0,263463.0,94787.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
27,TN3008PA0011653,31-OCT-24,2,0,3.LR,CD,TN,33,,,0.0,132290.0,38892.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
28,TN3008PA0011654,31-OCT-24,2,0,2.MR,CD,TN,49,,,,134238.0,80454.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,1.0,1,3,0,P
29,TN3008PA0011657,31-OCT-24,2,0,3.LR,CD,TN,24,,,0.0,52750.0,16460.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
30,TN3008PA0011664,31-OCT-24,1,0,3.LR,CD,TN,36,,,0.17,528737.0,239832.0,2.Not_Paying_Outside,TN III,0,,,,,,,,,,,0,0,0,
31,TN3008PA0011667,31-OCT-24,1,0,2.MR,CD,TN,31,,,,,,3:NO_OFFUS,TN III,0,,,,,,,,,,,0,0,0,
32,TN3008PA0011694,31-OCT-24,1,0,2.MR,CD,TN,35,,,0.0,68067.0,3456.0,1.Paying_Outside,TN III,0,,,,,,,,,,,0,27,0,
33,TN3008PA0011696,31-OCT-24,1,0,3.LR,CD,TN,28,,,0.0,18949.0,7263.0,1.Paying_Outside,TN III,0,,,,,,,,,,,0,0,0,
34,TN3008PA0011697,31-OCT-24,1,0,3.LR,CD,TN,35,,,,64572.0,36979.0,1.Paying_Outside,TN III,0,,,,,,,,,,,0,0,0,
35,TN3008PA0011700,31-OCT-24,1,0,2.MR,CD,TN,25,,,0.0,550301.0,1807.0,2.Not_Paying_Outside,TN III,0,,,,,,,,,,,0,0,0,
36,TN3008PA0011702,31-OCT-24,1,0,3.LR,CD,TN,30,,,0.0,259599.0,112198.0,1.Paying_Outside,TN III,0,,,,,,,,,,,0,0,0,
37,TN3008PA0011750,31-OCT-24,1,0,3.LR,CD,TN,26,,,0.0,847948.0,751180.0,1.Paying_Outside,TN III,0,,,,,,,,,,,0,0,0,
38,TN3008PA0011754,31-OCT-24,1,0,2.MR,TW,TN,42,,,0.0,1778489.0,554216.0,2.Not_Paying_Outside,TN III,0,,,,,,,,,,,0,0,0,
39,TN3008PA0011761,31-OCT-24,1,0,3.LR,CD,TN,24,,,0.0,160519.0,60268.0,1.Paying_Outside,TN III,0,,,,,,,,,,,0,0,0,
40,TN3008PA0011773,31-OCT-24,1,0,2.MR,CD,TN,40,,,0.0,130410.0,46501.0,1.Paying_Outside,TN III,0,,,,,,,,,,,0,0,0,
41,TN3008PA0011788,31-OCT-24,1,0,3.LR,TW,TN,22,,,0.0,110423.0,85399.0,1.Paying_Outside,TN III,0,,,,,,,,,,,0,0,0,
42,TN3008PA0011813,31-OCT-24,1,0,2.MR,CD,TN,27,,,,79770.0,57771.0,1.Paying_Outside,TN III,0,,,,,,,,,,,0,0,0,
43,TN3008PA0011816,31-OCT-24,1,0,3.LR,CD,TN,57,,,0.17,26299.0,,3:NO_OFFUS,TN III,0,,,,,,,,,,,0,0,0,
44,TN3008PA0011897,31-OCT-24,1,0,2.MR,TW,TN,41,,,,11809295.0,3794984.0,2.Not_Paying_Outside,TN III,0,,,,,,,,,,,0,0,0,
45,AP3111UT0018960,31-OCT-24,3,0,3.LR,TW,TS,36,,,0.0,16970942.0,4044765.0,2.Not_Paying_Outside,AP & TS,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
46,AP3111UT0018963,31-OCT-24,3,0,3.LR,TW,TS,52,,,0.0,162750.0,78303.0,1.Paying_Outside,AP & TS,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
47,AP3111UT0018975,31-OCT-24,3,0,3.LR,TW,TS,35,,,0.0,12120621.0,5112209.0,2.Not_Paying_Outside,AP & TS,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
48,AP3111UT0020282,31-OCT-24,3,0,2.MR,TW,TS,47,,,0.04,779349.0,255299.0,2.Not_Paying_Outside,AP & TS,0,1.0,2.0,0.0,0.0,0.0,PAID,0.0,0.0,9.0,0.0,1,12,12,PF
49,AP3111UT0020289,31-OCT-24,3,0,3.LR,TW,TS,39,,,0.06,128194.0,52933.0,1.Paying_Outside,AP & TS,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
50,AP3111UT0020295,31-OCT-24,3,0,3.LR,TW,TS,39,,,0.0,129195.0,99052.0,1.Paying_Outside,AP & TS,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,1.0,0.0,5.0,1.0,1,9,0,PP
51,AP3111UT0020332,31-OCT-24,3,0,3.LR,TW,TS,27,,,0.0,264949.0,190820.0,1.Paying_Outside,AP & TS,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
52,AP3111UT0020483,31-OCT-24,3,0,3.LR,TW,TS,33,,,0.0,4220668.0,3385744.0,1.Paying_Outside,AP & TS,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
53,AP3111UT0020487,31-OCT-24,3,0,3.LR,TW,TS,52,,,0.0,357621.0,238976.0,1.Paying_Outside,AP & TS,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
54,AP3111UT0020491,31-OCT-24,3,0,3.LR,TW,TS,24,,,0.0,143899.0,125055.0,2.Not_Paying_Outside,AP & TS,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
55,AP3111UT0020542,31-OCT-24,3,0,3.LR,TW,TS,49,,,0.08,310670.0,130992.0,2.Not_Paying_Outside,AP & TS,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
56,AP3111UT0020582,31-OCT-24,2,0,2.MR,TW,TS,36,,,0.17,989350.0,283129.0,2.Not_Paying_Outside,AP & TS,0,0.0,0.0,0.0,0.0,0.0,PAID,6.0,0.0,4.0,1.0,1,13,0,P
57,AP3111UT0020665,31-OCT-24,2,0,1.HR,TW,TS,55,,,0.08,103703.0,56510.0,3:NO_OFFUS,AP & TS,0,0.0,0.0,0.0,0.0,0.0,NOT_CONTACT,22.0,1.0,4.0,0.0,0,29,0,P
58,AP3111UT0020673,31-OCT-24,2,0,3.LR,TW,TS,37,,,0.05,197600.0,120933.0,3:NO_OFFUS,AP & TS,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
59,AP3111UT0020933,31-OCT-24,2,0,3.LR,TW,TS,37,,,0.06,826008.0,299809.0,2.Not_Paying_Outside,AP & TS,0,0.0,0.0,0.0,0.0,0.0,PTP,3.0,0.0,7.0,1.0,1,13,13,P
60,UP3052PA0018066,31-OCT-24,3,0,3.LR,CD,UP,24,,,0.0,257622.0,55985.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,PTP,0.0,0.0,15.0,1.0,0,18,0,PP
61,UP3052PA0018068,31-OCT-24,3,0,3.LR,CD,UP,37,,,0.0,779338.0,632642.0,2.Not_Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,2.0,2,7,0,PP
62,UP3052PA0018079,31-OCT-24,3,0,2.MR,CD,UP,25,,,0.0,468054.0,248010.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
63,UP3052PA0018089,31-OCT-24,3,0,3.LR,CD,UP,34,,,0.0,42298.0,,3:NO_OFFUS,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
64,UP3052PA0018100,31-OCT-24,3,0,3.LR,CD,UP,23,,,0.17,31999.0,2072.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,2.0,2,3,0,PP
65,UP3052PA0018108,31-OCT-24,3,0,3.LR,CD,UP,26,,,0.0,35649.0,,3:NO_OFFUS,UP N & W,0,0.0,0.0,0.0,0.0,0.0,PTP,0.0,0.0,12.0,2.0,2,10,0,PP
66,UP3052PA0018113,31-OCT-24,3,0,2.MR,CD,UP,46,,,0.0,145007.0,55813.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,23,0,PP
67,UP3052PA0018119,31-OCT-24,3,0,1.HR,TW,UP,36,,,0.11,68950.0,40927.0,3:NO_OFFUS,UP N & W,0,0.0,0.0,0.0,0.0,0.0,PTP,10.0,1.0,12.5,0.0,0,25,0,PP
68,UP3052PA0018120,31-OCT-24,3,0,1.HR,CD,UP,23,,,0.0,103398.0,39388.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,11.0,0.0,0,31,0,PP
69,UP3052PA0018126,31-OCT-24,3,0,2.MR,CD,UP,23,,,0.0,59749.0,27495.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
70,UP3052PA0018127,31-OCT-24,3,0,2.MR,CD,UP,27,,,0.0,447546.0,232027.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
71,UP3052PA0018150,31-OCT-24,3,0,2.MR,CD,UP,28,,,0.0,37999.0,15909.0,3:NO_OFFUS,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
72,UP3052PA0018159,31-OCT-24,3,0,2.MR,CD,UP,41,,,0.0,844688.0,617861.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
73,UP3052PA0018209,31-OCT-24,3,0,3.LR,CD,UP,24,,,,143078.0,53544.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
74,UP3052PA0018213,31-OCT-24,3,0,2.MR,CD,UP,26,,,0.0,1302803.0,239132.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,1.0,1,2,0,PP
75,UP3052PA0018215,31-OCT-24,3,0,3.LR,CD,UP,27,,,0.0,382578.0,221685.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
76,UP3052PA0018238,31-OCT-24,3,0,2.MR,CD,UP,54,,,,,,3:NO_OFFUS,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
77,UP3052PA0018244,31-OCT-24,3,0,3.LR,CD,UP,40,,,0.17,203854.0,174676.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
78,UP3052PA0018246,31-OCT-24,3,0,2.MR,CD,UP,24,,,0.0,23676.0,10018.0,3:NO_OFFUS,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,10.0,2.0,1,7,0,PP
79,UP3052PA0018250,31-OCT-24,3,0,2.MR,CD,UP,25,,,0.0,34748.0,15226.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,28,0,PP
80,UP3052PA0018260,31-OCT-24,3,0,1.HR,CD,UP,27,,,0.0,66778.0,22932.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,PAID,9.0,0.0,12.0,0.0,0,24,0,PP
81,UP3052PA0018283,31-OCT-24,2,0,3.LR,CD,UP,54,,,,1049949.0,981593.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,PAID,-3.0,0.0,10.0,1.0,1,10,0,P
82,UP3052PA0018289,31-OCT-24,2,0,2.MR,CD,UP,28,,,0.0,20299.0,,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
83,UP3052PA0018298,31-OCT-24,2,0,1.HR,CD,UP,31,,,0.0,251463.0,105318.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,CONTACT,14.0,0.0,12.0,0.0,0,29,0,P
84,UP3052PA0018307,31-OCT-24,2,0,1.HR,CD,UP,23,,,0.0,58948.0,27722.0,1.Paying_Outside,UP N & W,0,1.0,1.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,1.0,1,13,0,F
85,UP3052PA0018318,31-OCT-24,2,0,2.MR,TW,UP,26,,,0.0,655176.0,454768.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,21,0,P
86,UP3052PA0018323,31-OCT-24,2,0,1.HR,TW,UP,30,,,0.0,681514.0,347998.0,1.Paying_Outside,UP N & W,0,1.0,1.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,1.0,1,3,0,F
87,UP3052PA0018328,31-OCT-24,2,0,1.HR,CD,UP,31,,,0.0,29299.0,5000.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,PTP,13.0,0.0,12.0,0.0,0,28,0,P
88,UP3052PA0018329,31-OCT-24,2,0,2.MR,CD,UP,33,,,0.0,78903.0,13584.0,2.Not_Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
89,UP3052PA0018334,31-OCT-24,2,0,3.LR,CD,UP,23,,,0.0,13673.0,5859.0,3:NO_OFFUS,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
90,UP3052PA0018348,31-OCT-24,2,0,3.LR,CD,UP,39,,,0.11,56998.0,10999.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
91,UP3052PA0018361,31-OCT-24,2,0,3.LR,CD,UP,50,,,0.0,374940.0,291434.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
92,UP3052PA0018366,31-OCT-24,2,0,2.MR,CD,UP,23,,,,,,3:NO_OFFUS,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
93,UP3052PA0018367,31-OCT-24,2,0,1.HR,CD,UP,30,,,0.0,193202.0,31600.0,1.Paying_Outside,UP N & W,0,1.0,1.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,30,0,F
94,UP3052PA0018371,31-OCT-24,2,0,3.LR,CD,UP,27,,,0.14,49534.0,11777.0,2.Not_Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,CONTACT,1.0,0.0,12.0,1.0,1,16,0,P
95,UP3052PA0018379,31-OCT-24,2,0,1.HR,CD,UP,36,,,0.11,176886.0,86229.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,CONTACT,7.0,0.0,16.0,0.0,0,26,0,P
96,UP3052PA0018383,31-OCT-24,2,0,3.LR,CD,UP,39,,,0.0,199463.0,106993.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
97,UP3052PA0018387,31-OCT-24,2,0,2.MR,CD,UP,37,,,0.33,86113.0,20014.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
98,UP3052PA0018389,31-OCT-24,2,0,1.HR,CD,UP,23,,,0.0,36249.0,1828.0,1.Paying_Outside,UP N & W,0,1.0,1.0,0.0,0.0,0.0,PTP,15.0,0.0,12.0,0.0,0,30,0,F
99,UP3052PA0018392,31-OCT-24,2,0,2.MR,CD,UP,33,,,0.0,45737.0,10608.0,1.Paying_Outside,UP N & W,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,P
100,TN3004CP0026645,31-OCT-24,3,0,2.MR,CD,TN,33,,,0.13,1295692.0,196830.0,2.Not_Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
101,TN3004CP0026647,31-OCT-24,3,0,3.LR,CD,TN,35,,,0.0,589987.0,244478.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,2.0,2,6,0,PP
102,TN3004CP0026650,31-OCT-24,3,0,3.LR,CD,TN,22,,,0.0,12948.0,4857.0,3:NO_OFFUS,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,2.0,2,3,0,PP
103,TN3004CP0026654,31-OCT-24,3,0,1.HR,CD,TN,30,,,0.0,454153.0,44006.0,2.Not_Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,PAID,15.0,0.0,5.0,0.0,0,23,23,PP
104,TN3004CP0026655,31-OCT-24,3,0,3.LR,CD,TN,29,,,0.0,193243.0,110993.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,2.0,2,1,0,PP
105,TN3004CP0026658,31-OCT-24,3,0,2.MR,CD,TN,45,,,0.0,378448.0,82923.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,PAID,0.0,0.0,15.0,1.0,0,18,18,PP
106,TN3004CP0026675,31-OCT-24,3,0,1.HR,CD,TN,32,,,0.0,359948.0,83670.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,PTP,8.0,0.0,10.0,1.0,0,21,0,PP
107,TN3004CP0026677,31-OCT-24,3,0,3.LR,CD,TN,42,,,0.0,202865.0,75205.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,9.0,2.0,2,3,0,PP
108,TN3004CP0026697,31-OCT-24,3,0,3.LR,CD,TN,31,,,0.11,846236.0,0.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,PAID,8.0,0.0,2.5,2.0,2,9,9,PP
